"rank";"PLAYER";"PTS";"REB";"AST";"STL";"BLK"
1;"JamesHarden";36.1;6.6;7.5;2.0;0.7
2;"PaulGeorge";28.0;8.2;4.1;2.2;0.4
3;"GiannisAntetokounmpo";27.7;12.5;5.9;1.3;1.5
4;"JoelEmbiid";27.5;13.6;3.7;0.7;1.9
6;"StephenCurry";27.3;5.3;5.2;1.3;0.4
8;"DevinBooker";26.6;4.1;6.8;0.9;0.2
7;"KawhiLeonard";26.6;7.3;3.3;1.8;0.4
9;"KevinDurant";26.0;6.4;5.9;0.7;1.1
11;"DamianLillard";25.8;4.6;6.9;1.1;0.4
12;"KembaWalker";25.6;4.4;5.9;1.2;0.4
13;"BradleyBeal";25.6;5.0;5.5;1.5;0.7
14;"BlakeGriffin";24.5;7.5;5.4;0.7;0.4
15;"KarlAnthonyTowns";24.4;12.4;3.4;0.9;1.6
17;"DonovanMitchell";23.8;4.1;4.2;1.4;0.4
16;"KyrieIrving";23.8;5.0;6.9;1.5;0.5
18;"ZachLaVine";23.7;4.7;4.5;1.0;0.4
19;"RussellWestbrook";22.9;11.1;10.7;1.9;0.5
20;"KlayThompson";21.5;3.8;2.4;1.1;0.6
21;"JuliusRandle";21.4;8.7;3.1;0.7;0.6
22;"LaMarcusAldridge";21.3;9.2;2.4;0.5;1.3
23;"DeMarDeRozan";21.2;6.0;6.2;1.1;0.5
24;"LukaDoncic";21.2;7.8;6.0;1.1;0.3
25;"JrueHoliday";21.2;5.0;7.7;1.6;0.8
26;"D'AngeloRussell";21.1;3.9;7.0;1.2;0.2
27;"MikeConley";21.1;3.4;6.4;1.3;0.3
28;"CJMcCollum";21.0;4.0;3.0;0.8;0.4
29;"NikolaVucevic";20.8;12.0;3.8;1.0;1.1
31;"BuddyHield";20.7;5.0;2.5;0.7;0.4
32;"NikolaJokic";20.1;10.8;7.3;1.4;0.7
33;"TobiasHarris";20.0;7.9;2.8;0.6;0.5
35;"LouWilliams";20.0;3.0;5.4;0.8;0.1
36;"DaniloGallinari";19.8;6.1;2.6;0.7;0.3
37;"JohnCollins";19.5;9.8;2.0;0.4;0.6
38;"TraeYoung";19.1;3.7;8.1;0.9;0.2
42;"KyleKuzma";18.7;5.5;2.5;0.6;0.4
41;"JimmyButler";18.7;5.3;4.0;1.9;0.6
43;"KhrisMiddleton";18.3;6.0;4.3;1.0;0.1
45;"JamalMurray";18.2;4.2;4.8;0.9;0.4
48;"JJRedick";18.1;2.4;2.7;0.4;0.2
46;"AndrewWiggins";18.1;4.8;2.5;1.0;0.7
47;"TimHardawayJr.";18.1;3.4;2.4;0.8;0.1
51;"BojanBogdanovic";18.0;4.1;2.0;0.9;0.0
53;"De'AaronFox";17.3;3.8;7.3;1.6;0.6
52;"AndreDrummond";17.3;15.6;1.4;1.7;1.7
56;"PascalSiakam";16.9;6.9;3.1;0.9;0.7
57;"BenSimmons";16.9;8.8;7.7;1.4;0.8
58;"JordanClarkson";16.8;3.3;2.4;0.7;0.2
59;"SpencerDinwiddie";16.8;2.4;4.6;0.6;0.3
60;"CollinSexton";16.7;2.9;3.0;0.5;0.1
62;"MontrezlHarrell";16.6;6.5;2.0;0.9;1.3
63;"JoshRichardson";16.6;3.6;4.1;1.1;0.5
61;"ClintCapela";16.6;12.7;1.4;0.7;1.5
64;"HarrisonBarnes";16.4;4.7;1.5;0.6;0.2
65;"DeandreAyton";16.3;10.3;1.8;0.9;0.9
67;"EricGordon";16.2;2.2;1.9;0.6;0.4
68;"AaronGordon";16.0;7.4;3.7;0.7;0.7
70;"RudyGobert";15.9;12.9;2.0;0.8;2.3
69;"EricBledsoe";15.9;4.6;5.5;1.5;0.4
71;"JaysonTatum";15.7;6.0;2.1;1.1;0.7
73;"JusufNurkic";15.6;10.4;3.2;1.0;1.4
72;"MalcolmBrogdon";15.6;4.5;3.2;0.7;0.2
74;"ChrisPaul";15.6;4.6;8.2;2.0;0.3
76;"DennisSchroder";15.5;3.6;4.1;0.8;0.2
77;"ReggieJackson";15.4;2.6;4.2;0.7;0.1
78;"JeremyLamb";15.3;5.5;2.2;1.1;0.4
79;"KellyOubreJr.";15.2;4.7;1.2;1.2;0.9
81;"EvanFournier";15.1;3.2;3.6;0.9;0.1
82;"TerrenceRoss";15.1;3.5;1.7;0.9;0.4
84;"SergeIbaka";15.0;8.1;1.3;0.4;1.4
83;"DwyaneWade";15.0;4.0;4.2;0.8;0.5
